order_id,order_date,company_id,company_name,sku,region,forecast_qty,actual_qty,absolute_error,mape_pct,carrier,warehouse,promised_date,delivered_date,delay_days,on_time_delivery,expedited,unit_price,revenue,expedited_cost,route_id,warehouse_id,inventory_before,safety_stock,stockout_flag,upload_batch_date
200000,2025-03-21,1012,AutoSeal Gaskets,SKU0042,Central MI,305,161,144,89.44%,Mitten Last-Mile,Downtown Storage Co.,2025-03-31,2025-03-31,0,Yes,No,20.08,3232.88,0.0,R612,W03,391,147,0,2025-04-04
200001,2023-01-07,1003,Great Lakes Fasteners,SKU0020,SE MI,481,431,50,11.6%,QuickRoute Carriers,Downtown Storage Co.,2023-01-15,2023-01-15,0,Yes,No,13.0,5603.0,0.0,R237,W03,494,58,0,2023-01-21
200002,2023-10-14,1013,PolyTech Midwest,SKU0051,Northern MI,454,401,53,13.22%,North Fork Logistics,Downtown Storage Co.,2023-10-17,2023-10-17,0,Yes,No,15.7,6295.7,0.0,R761,W03,224,112,1,2023-10-15
200003,2025-03-02,1001,Delta Plastics,SKU0007,Northern MI,23,23,0,0.0%,Superior Haulage,Mid-MI Crossdock,2025-03-08,2025-03-08,0,Yes,No,13.88,319.24,0.0,R183,W02,130,209,0,2025-03-09
200004,2025-08-31,1002,Midland Moldings,SKU0010,SE MI,39,25,14,56.0%,Mitten Last-Mile,Downtown Storage Co.,2025-09-03,2025-09-06,3,No,No,13.6,340.0,0.0,R574,W03,456,24,0,2025-09-07
200005,2023-08-04,1002,Midland Moldings,SKU0013,Central MI,162,169,7,4.14%,Mitten Last-Mile,Downtown Storage Co.,2023-08-14,2023-08-15,1,No,No,14.12,2386.28,0.0,R297,W03,495,155,0,2023-08-05
200006,2023-12-19,1012,AutoSeal Gaskets,SKU0047,Central MI,280,268,12,4.48%,Mitten Last-Mile,Lakeside Warehousing,2023-12-28,2023-12-28,0,Yes,No,13.42,3596.56,0.0,R575,W01,260,107,0,2023-12-20
200007,2025-08-25,1001,Delta Plastics,SKU0008,Central MI,210,205,5,2.44%,Superior Haulage,Lakeside Warehousing,2025-09-08,2025-09-08,0,Yes,No,18.87,3868.35,0.0,R911,W01,230,236,0,2025-09-08
200008,2025-07-13,1014,Precision Plastics West,SKU0065,Central MI,82,69,13,18.84%,QuickRoute Carriers,Lakeside Warehousing,2025-07-19,2025-07-19,0,Yes,No,15.46,1066.74,0.0,R980,W01,95,54,0,2025-07-27
200009,2024-08-23,1004,TriCounty Components,SKU0028,Northern MI,9,9,0,0.0%,North Fork Logistics,Downtown Storage Co.,2024-09-06,2024-09-07,1,No,Yes,9.9,89.1,439.19,R108,W03,156,47,0,2024-09-06
200010,2025-08-24,1001,Delta Plastics,SKU0005,SE MI,250,249,1,0.4%,QuickRoute Carriers,Lakeside Warehousing,2025-09-06,2025-09-06,0,Yes,No,19.73,4912.77,0.0,R617,W01,427,226,0,2025-08-27
200011,2023-01-12,1002,Midland Moldings,SKU0012,Central MI,55,51,4,7.84%,North Fork Logistics,Lakeside Warehousing,2023-01-23,2023-01-23,0,Yes,No,16.34,833.34,0.0,R738,W01,559,98,0,2023-01-19
200012,2024-01-16,1013,PolyTech Midwest,SKU0056,Central MI,67,76,9,11.84%,Mitten Last-Mile,Mid-MI Crossdock,2024-01-26,2024-01-26,0,Yes,No,22.14,1682.64,0.0,R469,W02,400,96,0,2024-01-23
